Family,genome_count,fraction,percentage
Unknown,2439,0.12316315709740948,12.316315709740948
Steitzviridae,1289,0.065091147805888,6.5091147805888
Geminiviridae,975,0.049234964399333433,4.923496439933343
Fiersviridae,827,0.04176134929051154,4.1761349290511545
Picornaviridae,649,0.03277281220017169,3.277281220017169
Rhabdoviridae,645,0.03257082260263596,3.257082260263596
Peribunyaviridae,606,0.030601424026662626,3.0601424026662625
Phenuiviridae,487,0.02459223349997475,2.459223349997475
Autotranscriptaviridae,411,0.02075443114679594,2.075443114679594
Papillomaviridae,343,0.017320607988688584,1.7320607988688583
Spinareoviridae,335,0.01691662879361713,1.691662879361713
Sedoreoviridae,315,0.015906680805938492,1.5906680805938493
Potyviridae,285,0.014391758824420542,1.4391758824420542
Autoscriptoviridae,277,0.013987779629349089,1.3987779629349089
Adenoviridae,262,0.013230318638590113,1.3230318638590113
Atkinsviridae,262,0.013230318638590113,1.3230318638590113
Parvoviridae,243,0.01227086805029541,1.227086805029541
Secoviridae,239,0.012068878452759682,1.2068878452759682
Genomoviridae,237,0.01196788365399182,1.196788365399182
Drexlerviridae,236,0.011917386254607887,1.1917386254607887
Anelloviridae,227,0.011462909660152502,1.1462909660152503
Nairoviridae,210,0.010604453870625663,1.0604453870625663
Straboviridae,209,0.010553956471241731,1.0553956471241732
Demerecviridae,196,0.00989749027925062,0.9897490279250619
Hantaviridae,170,0.008584557895268394,0.8584557895268394
Arenaviridae,169,0.008534060495884462,0.8534060495884461
Botourmiaviridae,169,0.008534060495884462,0.8534060495884461
Bromoviridae,158,0.007978589102661212,0.7978589102661212
Circoviridae,158,0.007978589102661212,0.7978589102661212
Paramyxoviridae,154,0.007776599505125486,0.7776599505125487
Betaflexiviridae,148,0.007473615108821895,0.7473615108821895
Flaviviridae,148,0.007473615108821895,0.7473615108821895
Smacoviridae,143,0.007221128111902237,0.7221128111902236
Herelleviridae,142,0.0071706307125183055,0.7170630712518306
Peduoviridae,126,0.006362672322375398,0.6362672322375398
Aliceevansviridae,126,0.006362672322375398,0.6362672322375398
Solemoviridae,125,0.006312174922991466,0.6312174922991466
Andersonviridae,123,0.006211180124223602,0.6211180124223602
Polyomaviridae,122,0.006160682724839671,0.6160682724839671
Orthoherpesviridae,117,0.005908195727920012,0.5908195727920013
Schitoviridae,106,0.005352724334696763,0.5352724334696763
Baculoviridae,106,0.005352724334696763,0.5352724334696763
Mitoviridae,105,0.005302226935312832,0.5302226935312832
Caulimoviridae,104,0.0052517295359288995,0.52517295359289
Solspiviridae,101,0.0051002373377771046,0.5100237337777105
Autonotataviridae,99,0.004999242539009241,0.4999242539009241
Nanoviridae,99,0.004999242539009241,0.4999242539009241
Tombusviridae,98,0.00494874513962531,0.49487451396253096
Chrysoviridae,94,0.0047467555420895825,0.47467555420895824
Sarkviridae,88,0.004443771145785992,0.4443771145785992
Kanorauviridae,88,0.004443771145785992,0.4443771145785992
Virgaviridae,86,0.004342776347018128,0.4342776347018128
Alphasatellitidae,84,0.0042417815482502655,0.4241781548250266
Tospoviridae,79,0.003989294551330606,0.3989294551330606
Inoviridae,78,0.003938797151946675,0.39387971519466747
Autosignataviridae,76,0.0038378023531788113,0.38378023531788114
Mymonaviridae,74,0.0037368075544109477,0.37368075544109475
Alphaflexiviridae,74,0.0037368075544109477,0.37368075544109475
Closteroviridae,70,0.003534817956875221,0.3534817956875221
Partitiviridae,70,0.003534817956875221,0.3534817956875221
Vandenendeviridae,69,0.003484320557491289,0.34843205574912894
Draupnirviridae,67,0.0033833257587234256,0.33833257587234256
Lindbergviridae,67,0.0033833257587234256,0.33833257587234256
Kyanoviridae,66,0.003332828359339494,0.33328283593394936
Stackebrandtviridae,66,0.003332828359339494,0.33328283593394936
Ackermannviridae,63,0.003181336161187699,0.3181336161187699
Coronaviridae,59,0.002979346563651972,0.29793465636519717
Poxviridae,57,0.0028783517648841087,0.28783517648841084
Umezonoviridae,55,0.002777356966116245,0.2777356966116245
Iridoviridae,54,0.0027268595667323133,0.2726859566732313
Retroviridae,54,0.0027268595667323133,0.2726859566732313
Togaviridae,53,0.0026763621673483815,0.2676362167348382
Casjensviridae,51,0.002575367368580518,0.2575367368580518
Orthomyxoviridae,50,0.002524869969196586,0.2524869969196586
Chimalliviridae,50,0.002524869969196586,0.2524869969196586
Ouroboviridae,50,0.002524869969196586,0.2524869969196586
Hepadnaviridae,50,0.002524869969196586,0.2524869969196586
Phasmaviridae,47,0.0023733777710447912,0.23733777710447912
Pseudototiviridae,46,0.0023228803716608595,0.23228803716608595
Chuviridae,45,0.0022723829722769277,0.22723829722769276
Lispiviridae,45,0.0022723829722769277,0.22723829722769276
Hypoviridae,44,0.002221885572892996,0.2221885572892996
Fimoviridae,41,0.002070393374741201,0.2070393374741201
Casidaviridae,41,0.002070393374741201,0.2070393374741201
Nodaviridae,40,0.002019895975357269,0.20198959753572693
Rountreeviridae,38,0.0019189011765894056,0.19189011765894057
Blumeviridae,38,0.0019189011765894056,0.19189011765894057
Kitaviridae,37,0.0018684037772054738,0.18684037772054737
Suoliviridae,36,0.0018179063778215423,0.18179063778215424
Salasmaviridae,35,0.0017674089784376105,0.17674089784376104
Fusariviridae,34,0.0017169115790536787,0.17169115790536787
Mesyanzhinovviridae,33,0.001666414179669747,0.16664141796697468
Birnaviridae,33,0.001666414179669747,0.16664141796697468
Orthototiviridae,32,0.0016159167802858154,0.16159167802858154
Endornaviridae,31,0.0015654193809018836,0.15654193809018835
Mktvariviridae,31,0.0015654193809018836,0.15654193809018835
Tymoviridae,31,0.0015654193809018836,0.15654193809018835
Chaseviridae,30,0.0015149219815179518,0.15149219815179518
Geplanaviridae,30,0.0015149219815179518,0.15149219815179518
Nyamiviridae,29,0.00146442458213402,0.146442458213402
Mahapunaviridae,29,0.00146442458213402,0.146442458213402
Caliciviridae,29,0.00146442458213402,0.146442458213402
Vilyaviridae,27,0.0013634297833661567,0.13634297833661566
Stanwilliamsviridae,27,0.0013634297833661567,0.13634297833661566
Bornaviridae,27,0.0013634297833661567,0.13634297833661566
Zierdtviridae,27,0.0013634297833661567,0.13634297833661566
Vilmaviridae,27,0.0013634297833661567,0.13634297833661566
Redondoviridae,26,0.0013129323839822249,0.1312932383982225
Oomyviridae,26,0.0013129323839822249,0.1312932383982225
Xinmoviridae,25,0.001262434984598293,0.1262434984598293
Splipalmiviridae,25,0.001262434984598293,0.1262434984598293
Hepeviridae,24,0.0012119375852143615,0.12119375852143616
Tobaniviridae,24,0.0012119375852143615,0.12119375852143616
Arteriviridae,23,0.0011614401858304297,0.11614401858304298
Amalgaviridae,23,0.0011614401858304297,0.11614401858304298
Adamaviridae,22,0.001110942786446498,0.1110942786446498
Astroviridae,22,0.001110942786446498,0.1110942786446498
Cystoviridae,21,0.0010604453870625664,0.10604453870625664
Berryhillviridae,21,0.0010604453870625664,0.10604453870625664
Hodgkinviridae,21,0.0010604453870625664,0.10604453870625664
Microviridae,21,0.0010604453870625664,0.10604453870625664
Phycodnaviridae,21,0.0010604453870625664,0.10604453870625664
Connertonviridae,20,0.0010099479876786346,0.10099479876786346
Asfarviridae,20,0.0010099479876786346,0.10099479876786346
Bacilladnaviridae,20,0.0010099479876786346,0.10099479876786346
Marnaviridae,20,0.0010099479876786346,0.10099479876786346
Fusagraviridae,20,0.0010099479876786346,0.10099479876786346
Ehrlichviridae,19,0.0009594505882947028,0.09594505882947028
Intestiviridae,19,0.0009594505882947028,0.09594505882947028
Filoviridae,18,0.0009089531889107711,0.09089531889107712
Guelinviridae,17,0.0008584557895268394,0.08584557895268394
Rudiviridae,17,0.0008584557895268394,0.08584557895268394
Steigviridae,17,0.0008584557895268394,0.08584557895268394
Iflaviridae,16,0.0008079583901429077,0.08079583901429077
Inseviridae,16,0.0008079583901429077,0.08079583901429077
Pleolipoviridae,16,0.0008079583901429077,0.08079583901429077
Dicistroviridae,16,0.0008079583901429077,0.08079583901429077
