Genus,genome_count,fraction,percentage
Begomovirus,842,0.04251881028127052,4.251881028127052
Orthobunyavirus,564,0.028480533252537493,2.8480533252537494
Hodnevirus,467,0.023582285512296117,2.3582285512296117
Enterovirus,336,0.016967126193001062,1.6967126193001063
Phlebovirus,242,0.012220370650911479,1.2220370650911478
Potyvirus,229,0.011563904458920365,1.1563904458920364
Orthonairovirus,190,0.009594505882947028,0.9594505882947028
Orbivirus,187,0.009443013684795233,0.9443013684795233
Mastadenovirus,184,0.009291521486643438,0.9291521486643438
Orthoreovirus,173,0.008736050093420189,0.8736050093420189
Przondovirus,130,0.006564661919911125,0.6564661919911124
Orthohantavirus,128,0.006463667121143261,0.6463667121143262
Gemycircularvirus,126,0.006362672322375398,0.6362672322375398
Mammarenavirus,119,0.006009190526687876,0.6009190526687875
Ilarvirus,107,0.005403221734080695,0.5403221734080695
Cheoctovirus,106,0.005352724334696763,0.5352724334696763
Webervirus,100,0.005049739938393172,0.5049739938393172
Drulisvirus,97,0.004898247740241377,0.48982477402413777
Felixounavirus,97,0.004898247740241377,0.48982477402413777
Skunavirus,94,0.0047467555420895825,0.47467555420895824
Nepovirus,90,0.004544765944553855,0.4544765944553855
Rotavirus,89,0.004494268545169924,0.4494268545169924
Cyclovirus,88,0.004443771145785992,0.4443771145785992
Porprismacovirus,88,0.004443771145785992,0.4443771145785992
Varicosavirus,86,0.004342776347018128,0.4342776347018128
Mastrevirus,83,0.004191284148866333,0.4191284148866333
Tequatrovirus,82,0.004140786749482402,0.4140786749482402
Moineauvirus,81,0.00409028935009847,0.409028935009847
Polerovirus,79,0.003989294551330606,0.3989294551330606
Orthotospovirus,79,0.003989294551330606,0.3989294551330606
Orthoflavivirus,79,0.003989294551330606,0.3989294551330606
Alphapapillomavirus,78,0.003938797151946675,0.39387971519466747
Epseptimavirus,78,0.003938797151946675,0.39387971519466747
Alphabaculovirus,74,0.0037368075544109477,0.37368075544109475
Badnavirus,72,0.0036358127556430845,0.36358127556430847
Alphacytorhabdovirus,72,0.0036358127556430845,0.36358127556430847
Carlavirus,71,0.0035853153562591528,0.3585315356259153
Alphachrysovirus,70,0.003534817956875221,0.3534817956875221
Tequintavirus,70,0.003534817956875221,0.3534817956875221
Kayfunavirus,70,0.003534817956875221,0.3534817956875221
Circovirus,70,0.003534817956875221,0.3534817956875221
Gammapapillomavirus,69,0.003484320557491289,0.34843205574912894
Nanovirus,69,0.003484320557491289,0.34843205574912894
Friunavirus,65,0.0032823309599555625,0.3282330959955562
Jerseyvirus,64,0.0032318335605716307,0.3231833560571631
Alehxovirus,64,0.0032318335605716307,0.3231833560571631
Betacytorhabdovirus,60,0.0030298439630359036,0.30298439630359036
Huhbevirus,60,0.0030298439630359036,0.30298439630359036
Pahexavirus,57,0.0028783517648841087,0.28783517648841084
Uukuvirus,54,0.0027268595667323133,0.2726859566732313
Alphapolyomavirus,54,0.0027268595667323133,0.2726859566732313
Potexvirus,54,0.0027268595667323133,0.2726859566732313
Alphavirus,53,0.0026763621673483815,0.2676362167348382
Gemykibivirus,50,0.002524869969196586,0.2524869969196586
Teetrevirus,50,0.002524869969196586,0.2524869969196586
Duamitovirus,49,0.002474372569812655,0.24743725698126548
Magoulivirus,49,0.002474372569812655,0.24743725698126548
Betapapillomavirus,49,0.002474372569812655,0.24743725698126548
Dhillonvirus,49,0.002474372569812655,0.24743725698126548
Aquareovirus,48,0.002423875170428723,0.2423875170428723
Unuamitovirus,46,0.0023228803716608595,0.23228803716608595
Pbunavirus,45,0.0022723829722769277,0.22723829722769276
Namikivirus,45,0.0022723829722769277,0.22723829722769276
Koteshevirus,44,0.002221885572892996,0.2221885572892996
Betapolyomavirus,42,0.0021208907741251328,0.2120890774125133
Emaravirus,41,0.002070393374741201,0.2070393374741201
Hohrdovirus,40,0.002019895975357269,0.20198959753572693
Kuttervirus,40,0.002019895975357269,0.20198959753572693
Fromanvirus,39,0.0019693985759733374,0.19693985759733373
Mihkrovirus,39,0.0019693985759733374,0.19693985759733373
Cypovirus,39,0.0019693985759733374,0.19693985759733373
Giliycovirus,38,0.0019189011765894056,0.19189011765894057
Tikiyavirus,38,0.0019189011765894056,0.19189011765894057
Betatorquevirus,38,0.0019189011765894056,0.19189011765894057
Orthohepadnavirus,37,0.0018684037772054738,0.18684037772054737
Aviadenovirus,37,0.0018684037772054738,0.18684037772054737
Tobamovirus,36,0.0018179063778215423,0.18179063778215424
Bocaparvovirus,36,0.0018179063778215423,0.18179063778215424
Vequintavirus,36,0.0018179063778215423,0.18179063778215424
Radbaivirus,35,0.0017674089784376105,0.17674089784376104
Ceduovirus,34,0.0017169115790536787,0.17169115790536787
Brussowvirus,34,0.0017169115790536787,0.17169115790536787
Fijivirus,34,0.0017169115790536787,0.17169115790536787
Chaphamaparvovirus,34,0.0017169115790536787,0.17169115790536787
Pakpunavirus,34,0.0017169115790536787,0.17169115790536787
Bicehmovirus,33,0.001666414179669747,0.16664141796697468
Cosavirus,33,0.001666414179669747,0.16664141796697468
Waikavirus,33,0.001666414179669747,0.16664141796697468
Jeilongvirus,32,0.0016159167802858154,0.16159167802858154
Totivirus,32,0.0016159167802858154,0.16159167802858154
Victorivirus,32,0.0016159167802858154,0.16159167802858154
Orthophasmavirus,31,0.0015654193809018836,0.15654193809018835
Sclerotimonavirus,31,0.0015654193809018836,0.15654193809018835
Phietavirus,30,0.0015149219815179518,0.15149219815179518
Berlinvirus,30,0.0015149219815179518,0.15149219815179518
Peduovirus,30,0.0015149219815179518,0.15149219815179518
Babuvirus,30,0.0015149219815179518,0.15149219815179518
Ranavirus,29,0.00146442458213402,0.146442458213402
Betapartitivirus,29,0.00146442458213402,0.146442458213402
Phikmvvirus,29,0.00146442458213402,0.146442458213402
Penoulivirus,29,0.00146442458213402,0.146442458213402
