genome1,genome2,y
AB000403.1,BK062756.1,1
AB000403.1,EU725773.1,1
AB000403.1,GQ847511.2,1
AB000403.1,GU135608.1,1
AB000403.1,HM119403.1,1
AB000403.1,HM119406.2,1
AB000403.1,HM119409.1,1
AB000403.1,HM119412.1,1
AB000403.1,HM119415.1,1
AB000403.1,HM119418.2,1
AB000403.1,KP835518.1,0
AB000403.1,CASDWV010001996.1,0
AB000403.1,KF006988.1,0
AB000403.1,KM817679.1,0
AB000403.1,MF176881.1,0
AB000403.1,KX147096.1,0
AB000403.1,M77280.1,0
AB000403.1,KX852389.1,1
AB000403.1,OQ341635.1,0
AB000403.1,BK013733.1,0
AB000851.1,AY237111.1,1
AB000851.1,AY593727.1,1
AB000851.1,D00353.1,1
AB000851.1,EF485030.1,1
AB000851.1,EU294510.1,1
AB000851.1,EU564828.1,1
AB000851.1,EU564830.1,1
AB000851.1,EU622820.2,1
AB000851.1,EU879062.3,1
AB000851.1,FJ943505.1,1
AB000851.1,AP018714.1,0
AB000851.1,BK013760.1,0
AB000851.1,MZ679695.1,0
AB000851.1,MK032754.1,0
AB000851.1,CASDWV010004033.1,0
AB000851.1,FJ025899.1,0
AB000851.1,CASDWV010000871.1,0
AB000851.1,MT932329.1,0
AB000851.1,JN133282.1,0
AB000851.1,JN654496.1,0
AB000906.1,AF277675.1,0
AB000906.1,AB006531.1,0
AB000906.1,AF092924.1,1
AB000906.1,KX424571.1,0
AB000906.1,MK492273.1,0
AB000906.1,MT375548.1,0
AB000906.1,U67839.1,0
AB000906.1,JN091707.1,1
AB000906.1,JQ437415.1,0
AB000906.1,KT229611.1,0
AB000906.1,ON746531.1,0
AB000906.1,MN163274.1,0
AB000906.1,MT303062.1,0
AB000906.1,AB747251.1,0
AB000906.1,KX884463.1,0
AB000906.1,KY370041.1,0
AB000906.1,HB426607.1,0
AB000906.1,KF147833.1,0
AB000906.1,KF427701.2,0
AB000906.1,KY432935.1,0
AB000920.1,AB027511.1,0
AB000920.1,AF416471.1,1
AB000920.1,AJ132180.1,0
AB000920.1,AJ290434.1,0
AB000920.1,EF546813.1,0
AB000920.1,FN436007.1,1
AB000920.1,FN436008.1,1
AB000920.1,FN658711.1,1
AB000920.1,GQ150778.1,0
AB000920.1,GQ274025.1,0
AB000920.1,CASDWV010004834.1,0
AB000920.1,KR537454.1,0
AB000920.1,MZ328278.1,0
AB000920.1,KX817314.1,0
AB000920.1,LC779549.1,0
AB000920.1,MZ679773.1,0
AB000920.1,HM566146.1,0
AB000920.1,KC588379.1,0
AB000920.1,AM087549.1,0
AB000920.1,OR159674.1,0
AB000922.1,AB000920.1,1
AB000922.1,AB009047.1,1
AB000922.1,AB027511.1,0
AB000922.1,AF252610.1,0
AB000922.1,AF416471.1,1
AB000922.1,AJ005966.1,1
AB000922.1,AJ132180.1,0
AB000922.1,AJ132344.1,1
AB000922.1,AJ238493.1,1
AB000922.1,AJ290434.1,0
AB000922.1,MW557651.1,0
AB000922.1,BK014131.1,0
AB000922.1,KC787658.1,0
AB000922.1,KM052275.1,0
AB000922.1,KX884439.1,0
AB000922.1,LC061478.1,0
AB000922.1,LC604729.1,0
AB000922.1,GQ153919.1,0
AB000922.1,JQ675601.5,0
AB000922.1,AF375296.1,0
AB002632.1,KC357596.1,1
AB002632.1,AB334720.1,1
AB002632.1,AB334721.1,1
AB002632.1,GQ153916.1,1
AB002632.1,GQ153917.1,1
AB002632.1,GQ153918.1,1
AB002632.1,GQ153919.1,1
AB002632.1,J02451.1,1
AB002632.1,JF719732.1,1
AB002632.1,JF719733.1,1
AB002632.1,MF926432.1,0
AB002632.1,X86352.1,0
AB002632.1,KX452696.1,0
AB002632.1,AY303349.1,0
AB002632.1,ON778463.1,0
AB002632.1,MT062420.1,0
AB002632.1,MH268168.1,0
AB002632.1,MT129653.1,0
AB002632.1,CASDWV010004290.1,0
AB002632.1,OR529407.1,0
AB003289.1,U44402.1,1
AB003289.1,AY949771.1,1
AB003289.1,U63715.1,1
AB003289.1,D87713.1,1
AB003289.1,U45966.1,1
AB003289.1,AY196904.1,1
AB003289.1,AB021287.1,1
AB003289.1,AF070476.1,1
AB003289.1,KC410872.1,1
AB003289.1,AB086951.1,0
AB003289.1,MG546515.1,0
AB003289.1,BK062943.1,0
AB003289.1,MT498065.1,0
AB003289.1,MN770091.1,0
AB003289.1,DQ473487.1,0
AB003289.1,U19287.1,0
AB003289.1,MK728657.2,0
AB003289.1,MF176309.1,0
AB003289.1,AF297176.1,0
AB003289.1,MH616866.1,0
AB006531.1,AF178440.1,1
AB006531.1,AF014388.1,1
AB006531.1,AF277675.1,1
AB006531.1,AF218039.1,1
AB006531.1,AF183905.1,1
AB006531.1,DQ288865.1,1
AB006531.1,HM777507.1,1
AB006531.1,AF022937.1,1
AB006531.1,AF536531.1,1
AB006531.1,KF412901.2,0
AB006531.1,KM102249.1,0
AB006531.1,AB353071.1,0
AB006531.1,JF797218.1,0
AB006531.1,MK050846.2,0
AB006531.1,X62843.1,0
AB006531.1,KX817338.1,0
AB006531.1,LR881104.1,0
AB006531.1,MN982381.1,0
AB006531.1,BK014082.1,0
AB006531.1,MZ679679.1,0
AB006783.1,AF342731.1,1
AB006783.1,AJ459382.1,1
AB006783.1,AJ622822.1,1
AB006783.1,AY780919.1,1
AB006783.1,KY548508.1,1
AB006783.1,KY548509.1,1
AB006783.1,M18049.1,1
AB006783.1,MK103419.1,1
AB006783.1,FM995220.1,1
AB006783.1,AJ920335.1,1
AB006783.1,KF026355.1,0
AB006783.1,MZ679645.1,0
AB006783.1,MW557336.1,0
AB006783.1,MH982250.1,0
AB006783.1,LR597658.1,0
AB006783.1,KT862223.1,0
AB006783.1,DQ826396.1,0
AB006783.1,KX656670.1,0
AB006783.1,JF911698.1,0
AB006783.1,MF327558.1,0
AB008550.1,MK511066.1,1
AB008550.1,MG747435.1,1
AB008550.1,AB276040.1,1
AB008550.1,AB981169.1,1
AB008550.1,KR073661.1,1
AB008550.1,MT374855.1,1
AB008550.1,OV192280.1,1
AB008550.1,OQ383618.1,1
AB008550.1,AF063097.1,1
AB008550.1,LR595873.1,1
AB008550.1,AF238884.1,0
AB008550.1,AB194808.1,0
AB008550.1,HF920637.1,0
AB008550.1,LR743532.1,0
AB008550.1,MW314718.1,0
AB008550.1,MH552500.1,0
AB008550.1,JN997472.1,0
AB008550.1,AM087549.1,0
AB008550.1,KT992824.1,0
AB008550.1,MG775258.1,0
AB009046.1,AJ132183.1,1
AB009046.1,DQ826393.1,1
AB009046.1,EF546804.1,1
AB009046.1,GQ150779.1,1
AB009046.1,GQ274028.1,1
AB009046.1,GQ274036.1,1
AB009046.1,HE654124.1,1
AB009046.1,JN133279.1,1
AB009046.1,JX867540.1,1
AB009046.1,KC978940.1,1
AB009046.1,MK376962.1,0
AB009046.1,KF697141.1,0
AB009046.1,KP153458.1,0
AB009046.1,CASDWV010002943.1,0
AB009046.1,OP328249.1,0
AB009046.1,OM046626.1,0
AB009046.1,CASDWV010000705.1,0
AB009046.1,KM280929.1,0
AB009046.1,OL770365.1,0
AB009046.1,KF562340.1,0
AB009047.1,AB000920.1,1
AB009047.1,AB000922.1,1
AB009047.1,AB027511.1,0
AB009047.1,AF252610.1,0
AB009047.1,AF416471.1,1
AB009047.1,AJ005966.1,1
AB009047.1,AJ132180.1,0
AB009047.1,AJ132344.1,1
AB009047.1,AJ238493.1,1
AB009047.1,AJ290434.1,0
AB009047.1,OP072506.1,0
AB009047.1,MZ679810.1,0
AB009047.1,OP583591.1,0
AB009047.1,AB472900.2,0
AB009047.1,MT900475.1,0
AB009047.1,CASDWV010002170.1,0
AB009047.1,M96425.1,0
AB009047.1,OM262453.1,0
AB009047.1,MT293125.1,0
AB009047.1,AY366207.2,0
AB009656.1,D10759.1,1
AB009656.1,D31879.1,1
AB009656.1,DQ375403.1,1
AB009656.1,GQ847513.2,1
AB009656.1,HM119401.1,1
AB009656.1,HM119404.1,1
AB009656.1,HM119407.1,1
AB009656.1,HM119410.1,1
AB009656.1,HM119416.2,1
AB009656.1,HM119419.1,1
AB009656.1,MN428063.1,0
AB009656.1,KM225256.1,0
AB009656.1,HM566167.1,1
AB009656.1,AJ889867.1,0
AB009656.1,MF947444.1,0
AB009656.1,JN572081.1,0
AB009656.1,MW862981.1,0
AB009656.1,MZ679661.1,0
AB009656.1,BK013893.1,0
AB009656.1,CASDWV010000696.1,0
AB009958.2,AJ311875.1,1
AB009958.2,KU215538.1,1
AB009958.2,OR439368.1,1
AB009958.2,DQ344639.1,1
AB009958.2,AF277675.1,0
AB009958.2,OM777135.1,1
AB009958.2,MN809923.1,1
AB009958.2,MT375548.1,1
AB009958.2,BK061318.1,1
AB009958.2,JN052073.1,1
AB009958.2,M33551.1,0
AB009958.2,KX247377.1,0
AB009958.2,KF533711.1,0
AB009958.2,KM236245.1,0
AB009958.2,CASDWV010003859.1,0
AB009958.2,EU074853.1,0
AB009958.2,OL964099.1,0
AB009958.2,CASDWV010003575.1,0
AB009958.2,GU078660.1,0
AB009958.2,KX165268.1,0
AB009959.2,AB073148.2,1
AB009959.2,AB518486.1,1
AB009959.2,AB649297.1,1
AB009959.2,AF020051.3,1
AB009959.2,AJ277435.1,1
AB009959.2,AY017339.1,1
AB009959.2,AY157994.1,1
AB009959.2,AY291207.1,1
AB009959.2,AY291208.1,1
AB009959.2,AY303788.1,1
AB009959.2,EU556224.1,0
AB009959.2,BK066675.1,0
AB009959.2,CASDWV010001725.1,0
AB009959.2,D00627.1,0
AB009959.2,BK014162.1,0
AB009959.2,KU356689.1,0
AB009959.2,CASDWV010004159.1,0
AB009959.2,KM205007.1,0
AB009959.2,MK012442.1,0
AB009959.2,AY904723.1,0
AB010300.1,JN053266.1,1
AB010300.1,AB010302.1,1
AB010300.1,KX058345.1,1
AB010300.1,PP097219.1,1
AB010300.1,AB066288.1,1
AB010300.1,AJ292230.1,1
AB010300.1,KF555653.1,1
AB010300.1,KY696659.1,1
AB010300.1,M97264.1,1
AB010300.1,Z21647.1,1
AB010300.1,KR013237.1,0
AB010300.1,KF669659.1,0
AB010300.1,M96425.1,0
AB010300.1,EU418428.2,0
AB010300.1,JX219568.1,0
AB010300.1,MT074468.1,0
AB010300.1,MN532611.1,0
AB010300.1,OM030290.1,0
AB010300.1,CASDWV010004460.1,0
AB010300.1,KF688606.1,0
AB010302.1,PP097219.1,1
AB010302.1,AJ292230.1,1
AB010302.1,KF555653.1,1
AB010302.1,KM379144.1,1
AB010302.1,KX058345.1,1
AB010302.1,KY696659.1,1
AB010302.1,AB066288.1,1
AB010302.1,AB206396.1,1
AB010302.1,EU489641.1,1
AB010302.1,JN053266.1,1
AB010302.1,GQ290649.2,0
AB010302.1,CASDWV010002117.1,0
AB010302.1,KJ909794.1,0
AB010302.1,CASDWV010004927.1,0
AB010302.1,MH500297.1,0
AB010302.1,KJ621082.2,0
AB010302.1,OP172796.1,0
AB010302.1,MK896534.1,0
AB010302.1,MW306775.1,0
AB010302.1,AF357836.1,0
AB011257.1,AB516283.1,1
AB011257.1,BK064285.1,1
AB011257.1,BK064296.1,1
AB011257.1,BK064322.1,1
AB011257.1,BK064323.1,1
AB011257.1,KJ082087.1,1
AB011257.1,MG604920.1,1
AB011257.1,MK063878.2,1
AB011257.1,OL472126.1,1
AB011257.1,OQ256237.1,1
AB011257.1,EU771092.1,0
AB011257.1,CASDWV010002544.1,0
AB011257.1,MZ679628.1,0
AB011257.1,MT074474.1,0
AB011257.1,AY166866.1,0
AB011257.1,JX310702.1,0
AB011257.1,HM989930.1,0
AB011257.1,MF001355.1,0
AB011257.1,MN080711.1,0
AB011257.1,MZ679465.1,0
AB011404.1,AB011819.1,1
AB011404.1,AB017630.1,1
AB011404.1,AB027007.1,1
AB011404.1,AB099711.1,1
AB011404.1,AB158522.1,1
AB011404.1,AB158523.1,1
AB011404.1,AB219545.1,1
AB011404.1,AB246773.1,1
AB011404.1,AB271783.1,1
AB011404.1,AB282754.1,1
AB011404.1,ON240063.1,0
AB011404.1,JF938079.1,0
AB011404.1,KT693187.1,0
AB011404.1,CASDWV010004303.1,0
AB011404.1,D49693.1,0
AB011404.1,OM262456.1,0
AB011404.1,AM998806.1,0
AB011404.1,DQ837165.1,0
AB011404.1,KT696553.1,0
AB011404.1,AY722648.1,0
AB011819.1,D83749.1,1
AB011819.1,DQ641248.1,1
AB011819.1,D13751.1,1
AB011819.1,JN008909.1,1
AB011819.1,JX156434.1,1
AB011819.1,LC604019.1,1
AB011819.1,M11458.1,1
AB011819.1,GQ916624.1,1
AB011819.1,JQ609095.1,1
AB011819.1,JQ794501.1,1
AB011819.1,MN603497.1,0
AB011819.1,BK013684.1,0
AB011819.1,JX105428.1,0
AB011819.1,MF468274.1,0
AB011819.1,KC610514.1,0
AB011819.1,KX884809.1,0
AB011819.1,KF669648.1,0
AB011819.1,BK014209.1,0
AB011819.1,BK013385.1,0
AB011819.1,MF407276.1,0
AB012573.1,AB012574.1,1
AB012573.1,MN690600.1,1
AB012573.1,AY242528.1,1
AB012573.1,FJ904927.1,1
AB012573.1,MN536023.1,1
AB012573.1,AF453500.3,1
AB012573.1,OL512807.1,1
AB012573.1,OP628074.1,1
AB012573.1,AF452449.2,1
AB012573.1,MT188665.1,1
AB012573.1,FJ438903.1,0
AB012573.1,KX262893.1,0
AB012573.1,MN053272.1,0
AB012573.1,MK327938.1,0
AB012573.1,LC667452.1,0
AB012573.1,CASDWV010004416.1,0
AB012573.1,BK014082.1,0
AB012573.1,HQ878327.2,0
AB012573.1,MN164703.1,0
AB012573.1,MK012508.1,0
AB012574.1,AB012573.1,1
AB012574.1,MN690600.1,1
AB012574.1,AY242528.1,1
AB012574.1,FJ904927.1,1
AB012574.1,MN536023.1,1
AB012574.1,AF453500.3,1
AB012574.1,OL512807.1,1
AB012574.1,OP628074.1,1
AB012574.1,AF452449.2,1
AB012574.1,MT188665.1,1
AB012574.1,KP792661.1,0
AB012574.1,MF535449.1,0
AB012574.1,MN891803.1,0
AB012574.1,AY123041.1,0
AB012574.1,OP629194.1,0
AB012574.1,CASDWV010001837.1,0
AB012574.1,KT696552.1,0
AB012574.1,MZ507556.1,0
AB012574.1,MZ667220.1,0
AB012574.1,AM493895.2,0
AB014344.1,D32136.1,1
AB014344.1,KR080326.1,1
AB014344.1,KX977569.1,1
AB014344.1,KJ634409.1,1
AB014344.1,KT727022.1,1
AB014344.1,AB844264.1,1
AB014344.1,KF311065.1,1
AB014344.1,KT456288.1,1
AB014344.1,KT721705.1,1
AB014344.1,LC144945.1,1
AB014344.1,PP079415.1,0
AB014344.1,KJ469653.1,0
AB014344.1,FJ445123.1,0
AB014344.1,MK896627.1,0
AB014344.1,M32305.1,0
AB014344.1,LC413195.1,0
AB014344.1,PP328844.1,0
AB014344.1,AY004291.2,0
AB014344.1,MH017275.1,0
AB014344.1,MT863729.1,0
AB016162.1,AF014953.1,1
AB016162.1,AJ608288.1,1
AB016162.1,AJ849636.2,1
AB016162.1,JQ411014.1,1
AB016162.1,KC802221.1,1
AB016162.1,MT511667.1,1
AB016162.1,MW557651.1,1
AB016162.1,MZ312422.1,1
AB016162.1,X98291.3,1
AB016162.1,AF017149.3,1
AB016162.1,LC008511.1,0
AB016162.1,MZ679759.1,0
AB016162.1,JQ067089.2,0
AB016162.1,M74904.1,0
AB016162.1,PP790224.1,0
AB016162.1,MH782430.1,0
AB016162.1,MW394388.1,0
AB016162.1,MH729819.1,0
AB016162.1,MT733047.1,0
AB016162.1,CASDWV010000950.1,0
AB017503.1,U03387.1,1
AB017503.1,U30944.1,1
AB017503.1,D13438.1,1
AB017503.1,KJ395757.1,1
AB017503.1,HM026454.1,1
AB017503.1,AB089381.1,1
AB017503.1,AB917427.1,1
AB017503.1,AM398436.1,1
AB017503.1,JF729471.1,1
AB017503.1,JN566124.1,1
AB017503.1,BK013406.1,0
AB017503.1,MN044342.1,0
AB017503.1,CASDWV010002720.1,0
AB017503.1,KY086301.1,0
AB017503.1,GU989205.1,0
AB017503.1,OV192280.1,0
AB017503.1,JF911699.1,0
AB017503.1,KU647629.1,0
AB017503.1,KY302869.1,0
AB017503.1,KY432930.1,0
AB017630.1,AF028004.1,1
AB017630.1,D83749.1,1
AB017630.1,AJ581528.1,1
AB017630.1,JN008909.1,1
