Accession,Family
AB000403.1,Phenuiviridae
AB000851.1,Peribunyaviridae
AB000906.1,Iflaviridae
AB000920.1,Alphasatellitidae
AB000922.1,Alphasatellitidae
AB002632.1,Inoviridae
AB003289.1,Flaviviridae
AB006531.1,Dicistroviridae
AB006783.1,Birnaviridae
AB008550.1,Peduoviridae
AB009046.1,Nanoviridae
AB009047.1,Alphasatellitidae
AB009656.1,Phenuiviridae
AB009958.2,Secoviridae
AB009959.2,Secoviridae
AB010300.1,Alphaflexiviridae
AB010302.1,Alphaflexiviridae
AB011257.1,Rhabdoviridae
AB011404.1,Potyviridae
AB011819.1,Potyviridae
AB012573.1,Inoviridae
AB012574.1,Inoviridae
AB014344.1,Endornaviridae
AB016162.1,Paramyxoviridae
AB017503.1,Virgaviridae
AB017630.1,Potyviridae
AB021287.1,Flaviviridae
AB025946.2,Anelloviridae
AB026929.1,Anelloviridae
AB026931.1,Anelloviridae
AB027007.1,Potyviridae
AB027020.1,Papillomaviridae
AB027021.1,Papillomaviridae
AB027511.1,Nanoviridae
AB028668.1,Anelloviridae
AB030277.1,Rhabdoviridae
AB030940.1,Secoviridae
AB032469.1,Betaflexiviridae
AB033689.1,Virgaviridae
AB033690.1,Virgaviridae
AB033691.1,Virgaviridae
AB033692.1,Virgaviridae
AB033998.1,Astroviridae
AB037926.1,Anelloviridae
AB038147.1,Tombusviridae
AB038343.1,Tospoviridae
AB038621.1,Anelloviridae
AB038625.1,Anelloviridae
AB038627.1,Anelloviridae
AB038629.1,Anelloviridae
AB038630.1,Anelloviridae
AB040456.1,Papillomaviridae
AB040749.1,Picornaviridae
AB040874.1,Paramyxoviridae
AB041007.1,Anelloviridae
AB041957.1,Anelloviridae
AB041958.2,Anelloviridae
AB041959.1,Anelloviridae
AB041960.1,Anelloviridae
AB041962.1,Anelloviridae
AB041963.1,Anelloviridae
AB043678.1,Inoviridae
AB043679.1,Inoviridae
AB049608.1,Anelloviridae
AB051848.1,Betaflexiviridae
AB054688.1,Secoviridae
AB057358.1,Anelloviridae
AB060594.1,Anelloviridae
AB060597.1,Anelloviridae
AB061774.1,Tospoviridae
AB063393.2,Matsushitaviridae
AB066288.1,Alphaflexiviridae
AB073147.1,Secoviridae
AB073148.2,Secoviridae
AB075039.1,Rhabdoviridae
AB076001.1,Anelloviridae
AB076002.1,Anelloviridae
AB080598.1,Bromoviridae
AB080600.1,Bromoviridae
AB084450.1,Secoviridae
AB084451.1,Secoviridae
AB084452.1,Secoviridae
AB084453.1,Secoviridae
AB084788.1,Picornaviridae
AB084913.1,Picornaviridae
AB085814.1,Pseudototiviridae
AB086951.1,Tombusviridae
AB089381.1,Virgaviridae
AB090161.1,Picornaviridae
AB098022.1,Spinareoviridae
AB099711.1,Potyviridae
AB102675.1,Spinareoviridae
AB110977.1,Mitoviridae
AB113347.1,Partitiviridae
AB114138.1,Rhabdoviridae
AB114858.1,Flaviviridae
AB126191.2,Orthomyxoviridae
AB126192.2,Orthomyxoviridae
AB158522.1,Potyviridae
AB158523.1,Potyviridae
AB176964.1,Pseudototiviridae
AB179636.1,Spinareoviridae
AB186897.1,Picobirnaviridae
AB186898.1,Picobirnaviridae
AB193315.2,Bacilladnaviridae
AB193726.1,Marnaviridae
AB194806.2,Bromoviridae
AB194807.2,Bromoviridae
AB194808.1,Bromoviridae
AB195968.1,Paramyxoviridae
AB206396.1,Alphaflexiviridae
AB218608.1,Alvernaviridae
AB219105.1,Alphaflexiviridae
AB219545.1,Potyviridae
AB244417.1,Rhabdoviridae
AB246773.1,Potyviridae
AB259123.2,Inoviridae
AB259124.1,Inoviridae
AB261167.1,Virgaviridae
AB271783.1,Potyviridae
AB276040.1,Peduoviridae
AB282754.1,Potyviridae
AB290917.1,Anelloviridae
AB295643.1,Secoviridae
AB295644.1,Secoviridae
AB300379.1,Pseudototiviridae
AB303552.1,Anelloviridae
AB303553.1,Anelloviridae
AB303554.1,Anelloviridae
AB303558.1,Anelloviridae
AB303560.1,Anelloviridae
AB303561.1,Anelloviridae
AB303564.1,Anelloviridae
AB303566.1,Anelloviridae
AB331650.1,Papillomaviridae
AB331651.1,Papillomaviridae
AB333801.2,Adenoviridae
AB334720.1,Inoviridae
AB334721.1,Inoviridae
AB353071.1,Alphaflexiviridae
AB368492.1,Alternaviridae
AB375474.1,Marnaviridae
AB426608.1,Picornaviridae
AB432910.1,Betaflexiviridae
AB434711.1,Inoviridae
AB444583.1,Bromoviridae
AB448767.1,Adenoviridae
AB449062.1,Anelloviridae
AB465308.1,Partitiviridae
AB469874.1,Marnaviridae
AB472900.2,Vandenendeviridae
AB486012.1,Hepadnaviridae
AB512282.1,Megabirnaviridae
AB516283.1,Rhabdoviridae
AB517596.1,Betaflexiviridae
AB518485.1,Secoviridae
AB518486.1,Secoviridae
AB537968.1,Clavaviridae
AB541985.1,Potyviridae
AB543336.1,Paramyxoviridae
AB543337.1,Paramyxoviridae
AB543507.1,Papillomaviridae
AB546335.1,Alphaflexiviridae
AB551370.1,Potyviridae
AB558120.2,Mitoviridae
AB560486.1,Lindbergviridae
AB560761.1,Chrysoviridae
AB562586.1,Adenoviridae
AB569997.1,Partitiviridae
AB573435.2,Hepeviridae
AB586644.1,Arenaviridae
AB586645.1,Arenaviridae
AB588640.1,Polyomaviridae
AB597179.1,Autotranscriptaviridae
AB597949.1,Bacilladnaviridae
AB604791.1,Rhabdoviridae
AB609718.1,Herelleviridae
AB620063.1,Quadriviridae
AB620102.1,Hantaviridae
AB620104.1,Hantaviridae
AB620105.1,Hantaviridae
AB620107.1,Hantaviridae
AB620108.1,Hantaviridae
AB626962.1,Rountreeviridae
AB639040.1,Marnaviridae
AB646346.1,Papillomaviridae
AB649296.1,Secoviridae
AB649297.1,Secoviridae
AB676848.1,Hantaviridae
AB690372.1,Hypoviridae
AB710145.1,Potyviridae
AB724113.1,Bromoviridae
AB724114.1,Bromoviridae
AB724115.1,Bromoviridae
AB735628.2,Rhabdoviridae
AB735629.2,Spiciviridae
AB742454.1,Pseudototiviridae
AB744679.1,Quadriviridae
AB745694.1,Papillomaviridae
AB747251.1,Picornaviridae
AB747254.1,Picornaviridae
AB747255.1,Picornaviridae
AB747256.1,Picornaviridae
AB747257.1,Picornaviridae
AB747258.1,Picornaviridae
AB753015.2,Mesoniviridae
AB759118.1,Paramyxoviridae
AB767294.1,Polyomaviridae
AB767295.2,Polyomaviridae
AB767297.1,Polyomaviridae
AB767298.1,Polyomaviridae
AB767299.2,Polyomaviridae
AB771723.1,Quadriviridae
AB775549.1,Autotranscriptaviridae
AB818538.1,Potyviridae
AB818899.1,Benyviridae
AB825953.1,Orthoherpesviridae
AB842088.1,Nairoviridae
AB842089.1,Nairoviridae
AB844264.1,Endornaviridae
AB844272.1,Bacilladnaviridae
AB853331.1,Herelleviridae
AB903967.1,Herelleviridae
AB910602.1,Inoviridae
AB914760.1,Spinareoviridae
AB914761.1,Spinareoviridae
AB914762.1,Spinareoviridae
AB914763.1,Spinareoviridae
AB914764.1,Spinareoviridae
AB914765.1,Spinareoviridae
AB914766.1,Spinareoviridae
AB914767.1,Spinareoviridae
AB914769.1,Spinareoviridae
AB915829.1,Fusariviridae
AB917427.1,Virgaviridae
AB920995.1,Autonotataviridae
AB923518.1,Retroviridae
AB923924.1,Closteroviridae
AB930182.1,Herelleviridae
AB931172.1,Inoviridae
AB937974.1,Inoviridae
AB937988.1,Parvoviridae
AB937989.1,Picornaviridae
AB971661.1,Marnaviridae
AB972428.1,Arenaviridae
AB972429.1,Arenaviridae
AB972430.1,Arenaviridae
AB972431.1,Arenaviridae
AB972940.1,Polyomaviridae
AB972941.1,Polyomaviridae
AB972945.1,Polyomaviridae
AB972946.1,Polyomaviridae
AB972947.1,Polyomaviridae
AB973945.1,Marnaviridae
AB976029.1,Virgaviridae
AB976030.1,Virgaviridae
AB981169.1,Peduoviridae
AB981170.1,Inoviridae
AB983711.1,Autonotataviridae
ABRO02087964.1,Adenoviridae
AC090446.27,Orthoherpesviridae
AC_000001.1,Adenoviridae
AC_000003.1,Adenoviridae
AC_000004.1,Adenoviridae
